platform;kind;username;url;sources_count;matched_terms;is_mutual_related;source_pages
telegram;community;dnative;https://t.me/dnative;1;instagram;YES;https://ru.ruwiki.ru/wiki/Instagram
telegram;community;FindYourChannelBot;https://t.me/FindYourChannelBot;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;gradient;https://t.me/gradient;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;impalastudios;https://t.me/impalastudios;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;inst_activ_ru;https://t.me/inst_activ_ru;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;lemonandmarketing;https://t.me/lemonandmarketing;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;LeonKemstach;https://t.me/LeonKemstach;1;лайк, like;YES;https://www.rustore.ru/catalog/app/video.like.rustore
telegram;community;like;https://t.me/like;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;llina_mi;https://t.me/llina_mi;1;актив, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;mari_llokel;https://t.me/mari_llokel;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;milana_nekrasova;https://t.me/milana_nekrasova;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;MilashkaUMKA;https://t.me/MilashkaUMKA;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;mornuir;https://t.me/mornuir;1;актив, лайк, коммент, instagram, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/
telegram;community;nuxtjs;https://t.me/nuxtjs;1;instagram;YES;https://ru.ruwiki.ru/wiki/Instagram
telegram;community;pravila_inst;https://t.me/pravila_inst;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;ruwiki;https://t.me/ruwiki;1;instagram, инста;YES;https://ru.ruwiki.ru/wiki/Instagram
telegram;community;ruwikiofficial;https://t.me/ruwikiofficial;1;instagram;YES;https://ru.ruwiki.ru/wiki/Instagram
telegram;community;ternyuk;https://t.me/ternyuk;1;взаим, актив, instagram, инстаграм, инста;YES;https://ru.telegram-store.com/catalog/chats/inst_activ_ru
telegram;community;tryghost;https://t.me/tryghost;1;актив, инстаграм, инста;YES;https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/
telegram;community;VrednayaModa;https://t.me/VrednayaModa;1;like;YES;https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681
telegram;community;type;https://t.me/type;40;-;NO;https://apkpure.com/ru/likee-community-of-interests-app/video.like | https://apkpure.com/ru/likee-community-of-interests-app/video.like/download | https://apkpure.net/ru/instagram-app/com.instagram.android | https://apkpure.net/ru/instagram-app/com.instagram.android/download | https://apps.apple.com/ru/app/instagram/id389801252 | https://apps.apple.com/ru/app/likee-%D0%BF%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D1%85-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id1251790681 | https://apps.microsoft.com/detail/9nblggh5l9xt?hl=ru-RU&gl=US | https://apps.microsoft.com/detail/9pmf91n3lz3m?hl=es-ES&gl=ES | https://chat.google.com/ | https://chatbotchatapp.com/ru | https://en.wikipedia.org/wiki/Roblox | https://likee.com/download?lang=ru | https://likee.video/ | https://likee.video/main/list | https://niksolovov.ru/chat-aktivnosti-v-instagram | https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru | https://ru.telegram-store.com/catalog/chats/inst_activ_ru | https://ru.wikipedia.org/wiki/Instagram | https://smmplanner.com/blog/rukovodstvo-po-chatam-aktivnosti-v-instaghramie/ | https://www.calculator.io/integer-calculator/ | https://www.clubic.com/telecharger-fiche437055-roblox-1.html | https://www.omnicalculator.com/math/addition | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning | https://www.roblox.com/ | https://www.roblox.com/Login | https://www.rustore.ru/catalog/app/video.like.rustore | https://www.xbox.com/en-us/games/store/roblox-windows/9pmf91n3lz3m | https://yandex.ru/maps/
telegram;community;font;https://t.me/font;25;-;NO;https://2gis.ru/ | https://alice.yandex.ru/ | https://myaccount.google.com/intro/find-your-phone?hl=ru | https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru | https://ru.telegram-store.com/catalog/chats/inst_activ_ru | https://ruletka.chat/ | https://www.clubic.com/telecharger-fiche437055-roblox-1.html | https://www.google.com/android/find?hl=ru | https://www.omnicalculator.com/math/addition | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning | https://ya.ru/ | https://yandex.ru/chrome/newtab | https://yandex.ru/maps/
telegram;community;keyframes;https://t.me/keyframes;24;-;NO;https://alice.yandex.ru/ | https://apkpure.com/ru/likee-community-of-interests-app/video.like | https://apkpure.com/ru/likee-community-of-interests-app/video.like/download | https://apkpure.net/ru/instagram-app/com.instagram.android | https://apkpure.net/ru/instagram-app/com.instagram.android/download | https://apps.microsoft.com/detail/9nblggh5l9xt?hl=ru-RU&gl=US | https://apps.microsoft.com/detail/9pmf91n3lz3m?hl=es-ES&gl=ES | https://chatroulett.ru/ | https://iklife.ru/socialnye-seti/instagram/chto-takoe-instagram-i-zachem-on-nuzhen | https://myaccount.google.com/intro/find-your-phone?hl=ru | https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru | https://ru.telegram-store.com/catalog/chats/inst_activ_ru | https://www.clubic.com/telecharger-fiche437055-roblox-1.html | https://www.desmos.com/ | https://www.google.com/android/find?hl=ru | https://www.omnicalculator.com/math/addition | https://ya.ru/ | https://yandex.ru/chrome/newtab | https://yandex.ru/maps/
telegram;community;supports;https://t.me/supports;22;-;NO;https://alice.yandex.ru/ | https://apps.microsoft.com/detail/9nblggh5l9xt?hl=ru-RU&gl=US | https://apps.microsoft.com/detail/9pmf91n3lz3m?hl=es-ES&gl=ES | https://myaccount.google.com/intro/find-your-phone?hl=ru | https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru | https://www.google.com/android/find?hl=ru | https://www.omnicalculator.com/math/addition | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning | https://ya.ru/ | https://yandex.ru/chrome/newtab
telegram;community;The_RHS;https://t.me/The_RHS;10;-;NO;https://www.rhs.org.uk/advice/beginners-guide/pruning-plants/pruning-shrubs | https://www.rhs.org.uk/advice/in-month/march/trees-shrubs | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning
telegram;community;the_rhs;https://t.me/the_rhs;10;-;NO;https://www.rhs.org.uk/advice/beginners-guide/pruning-plants/pruning-shrubs | https://www.rhs.org.uk/advice/in-month/march/trees-shrubs | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning
telegram;community;layer;https://t.me/layer;9;-;NO;https://chat.google.com/ | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning
telegram;community;property;https://t.me/property;9;-;NO;https://alice.yandex.ru/ | https://www.rhs.org.uk/plants/philadelphus/growing-guide | https://www.rhs.org.uk/plants/photinia/growing-guide | https://www.rhs.org.uk/plants/types/climbers/established-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/colourful-stems-large-foliage | https://www.rhs.org.uk/plants/types/shrubs/evergreen-pruning-guide | https://www.rhs.org.uk/plants/types/shrubs/pruning-early-flowering | https://www.rhs.org.uk/plants/types/shrubs/renovation | https://www.rhs.org.uk/plants/types/trees/cloud-pruning
telegram;community;container;https://t.me/container;7;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru | https://yandex.ru/chrome/newtab
telegram;community;GooglePlay;https://t.me/GooglePlay;6;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=en-US | https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://play.google.com/store/apps/details?id=video.like&gl=RU | https://play.google.com/store/apps/details?id=video.like&hl=ru
telegram;community;roblox;https://t.me/roblox;6;-;NO;https://apps.microsoft.com/detail/9pmf91n3lz3m?hl=es-ES&gl=ES | https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es | https://www.roblox.com/ | https://www.roblox.com/Login | https://www.xbox.com/en-us/games/store/roblox-windows/9pmf91n3lz3m
telegram;community;desktop;https://t.me/desktop;3;-;NO;https://alice.yandex.ru/ | https://ya.ru/ | https://yandex.ru/chrome/newtab
telegram;community;ABCDEFGHIJKLMNOPQRSTUVWXYZ;https://t.me/ABCDEFGHIJKLMNOPQRSTUVWXYZ;2;-;NO;https://ya.ru/ | https://yandex.ru/chrome/newtab
telegram;community;bloodstrike_official;https://t.me/bloodstrike_official;2;-;NO;https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es
telegram;community;bloodstrikeofficial;https://t.me/bloodstrikeofficial;2;-;NO;https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es
telegram;community;mobilelegendsgame;https://t.me/mobilelegendsgame;2;-;NO;https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es
telegram;community;moonton;https://t.me/moonton;2;-;NO;https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es
telegram;community;o293668;https://t.me/o293668;2;-;NO;https://www.roblox.com/ | https://www.roblox.com/Login
telegram;community;pkxd;https://t.me/pkxd;2;-;NO;https://play.google.com/store/apps/details?id=com.roblox.client&hl=en-US | https://play.google.com/store/apps/details?id=com.roblox.client&hl=es
telegram;community;Roblox;https://t.me/Roblox;2;-;NO;https://en.wikipedia.org/wiki/Roblox | https://www.roblox.com/
telegram;community;79033053932;https://t.me/79033053932;1;-;NO;https://yandex.ru/maps/
telegram;community;79395056363;https://t.me/79395056363;1;-;NO;https://yandex.ru/maps/
telegram;community;amplitude;https://t.me/amplitude;1;-;NO;https://www.mathway.com/Calculator/math-calculator
telegram;community;baryonix_aquapark;https://t.me/baryonix_aquapark;1;-;NO;https://yandex.ru/maps/
telegram;community;branch;https://t.me/branch;1;-;NO;https://yandex.ru/maps/
telegram;community;calculator_io;https://t.me/calculator_io;1;-;NO;https://www.calculator.io/integer-calculator/
telegram;community;CalculatorIo;https://t.me/CalculatorIo;1;-;NO;https://www.calculator.io/integer-calculator/
telegram;community;centre_hermitage_kazan;https://t.me/centre_hermitage_kazan;1;-;NO;https://yandex.ru/maps/
telegram;community;chaihanabuhara;https://t.me/chaihanabuhara;1;-;NO;https://yandex.ru/maps/
telegram;community;chakchakmuseum;https://t.me/chakchakmuseum;1;-;NO;https://yandex.ru/maps/
telegram;community;chatgptchatapp;https://t.me/chatgptchatapp;1;-;NO;https://chatbotchatapp.com/ru
telegram;community;chatruletka;https://t.me/chatruletka;1;-;NO;https://ruletka.chat/
telegram;community;chromenewtab;https://t.me/chromenewtab;1;-;NO;https://yandex.ru/chrome/newtab
telegram;community;class;https://t.me/class;1;-;NO;https://iklife.ru/socialnye-seti/instagram/chto-takoe-instagram-i-zachem-on-nuzhen
telegram;community;clubic;https://t.me/clubic;1;-;NO;https://www.clubic.com/telecharger-fiche437055-roblox-1.html
telegram;community;clubic_;https://t.me/clubic_;1;-;NO;https://www.clubic.com/telecharger-fiche437055-roblox-1.html
telegram;community;date;https://t.me/date;1;-;NO;https://yandex.ru/maps/
telegram;community;docsearch;https://t.me/docsearch;1;-;NO;https://w3calc.com/ar/
telegram;community;family_cafe_skazka;https://t.me/family_cafe_skazka;1;-;NO;https://yandex.ru/maps/
telegram;community;galleryzaitsev;https://t.me/galleryzaitsev;1;-;NO;https://yandex.ru/maps/
telegram;community;givikokazan;https://t.me/givikokazan;1;-;NO;https://yandex.ru/maps/
telegram;community;google;https://t.me/google;1;-;NO;https://myaccount.google.com/intro/find-your-phone?hl=ru
telegram;community;googleworkspace;https://t.me/googleworkspace;1;-;NO;https://chat.google.com/
telegram;community;gruzinskie_istorii_kzn;https://t.me/gruzinskie_istorii_kzn;1;-;NO;https://yandex.ru/maps/
telegram;community;hermitage_kazan;https://t.me/hermitage_kazan;1;-;NO;https://yandex.ru/maps/
telegram;community;hochubudu2_kzn;https://t.me/hochubudu2_kzn;1;-;NO;https://yandex.ru/maps/
telegram;community;hochubudu_kzn;https://t.me/hochubudu_kzn;1;-;NO;https://yandex.ru/maps/
telegram;community;iklife;https://t.me/iklife;1;-;NO;https://iklife.ru/socialnye-seti/instagram/chto-takoe-instagram-i-zachem-on-nuzhen
telegram;community;iMe_aiu003cbru003e;https://t.me/iMe_aiu003cbru003e;1;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
telegram;community;ime_ru;https://t.me/ime_ru;1;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
telegram;community;iMeLimeu003cbru003e;https://t.me/iMeLimeu003cbru003e;1;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
telegram;community;iMeMessengeru003cbru003e;https://t.me/iMeMessengeru003cbru003e;1;-;NO;https://play.google.com/store/apps/details?id=com.instagram.android&hl=ru
telegram;community;itle_bistro;https://t.me/itle_bistro;1;-;NO;https://yandex.ru/maps/
telegram;community;ITLE_pro;https://t.me/ITLE_pro;1;-;NO;https://yandex.ru/maps/
telegram;community;kazan;https://t.me/kazan;1;-;NO;https://yandex.ru/maps/
telegram;community;Kazan_kremlin;https://t.me/Kazan_kremlin;1;-;NO;https://yandex.ru/maps/
telegram;community;kazancircus;https://t.me/kazancircus;1;-;NO;https://yandex.ru/maps/
telegram;community;kcsaidash;https://t.me/kcsaidash;1;-;NO;https://yandex.ru/maps/
telegram;community;kcsaidash_official;https://t.me/kcsaidash_official;1;-;NO;https://yandex.ru/maps/
telegram;community;khram_vseh_religiy;https://t.me/khram_vseh_religiy;1;-;NO;https://yandex.ru/maps/
telegram;community;kzn_kremlin;https://t.me/kzn_kremlin;1;-;NO;https://yandex.ru/maps/
telegram;community;maps;https://t.me/maps;1;-;NO;https://yandex.ru/maps/
telegram;community;mapsyandex;https://t.me/mapsyandex;1;-;NO;https://yandex.ru/maps/
telegram;community;marusovka;https://t.me/marusovka;1;-;NO;https://yandex.ru/maps/
telegram;community;mixin;https://t.me/mixin;1;-;NO;https://alice.yandex.ru/
telegram;community;morebar;https://t.me/morebar;1;-;NO;https://yandex.ru/maps/
telegram;community;morebarkzn;https://t.me/morebarkzn;1;-;NO;https://yandex.ru/maps/
telegram;community;muzeysoclife;https://t.me/muzeysoclife;1;-;NO;https://yandex.ru/maps/
telegram;community;natural_museum_rt;https://t.me/natural_museum_rt;1;-;NO;https://yandex.ru/maps/
telegram;community;newrelic;https://t.me/newrelic;1;-;NO;https://www.mathway.com/Calculator/math-calculator
telegram;community;o32684;https://t.me/o32684;1;-;NO;https://www.omnicalculator.com/math/addition
telegram;community;original;https://t.me/original;1;-;NO;https://www.mathway.com/Calculator/math-calculator
telegram;community;page;https://t.me/page;1;-;NO;https://yandex.ru/maps/
telegram;community;pir_par;https://t.me/pir_par;1;-;NO;https://yandex.ru/maps/
telegram;community;RestaurantGiviko_bot;https://t.me/RestaurantGiviko_bot;1;-;NO;https://yandex.ru/maps/
telegram;community;riviera_sky;https://t.me/riviera_sky;1;-;NO;https://yandex.ru/maps/
telegram;community;romein_meat;https://t.me/romein_meat;1;-;NO;https://yandex.ru/maps/
telegram;community;skazka;https://t.me/skazka;1;-;NO;https://yandex.ru/maps/
telegram;community;skazka_kazan;https://t.me/skazka_kazan;1;-;NO;https://yandex.ru/maps/
telegram;community;skazkarestoran;https://t.me/skazkarestoran;1;-;NO;https://yandex.ru/maps/
telegram;community;smokypeople_bereg;https://t.me/smokypeople_bereg;1;-;NO;https://yandex.ru/maps/
telegram;community;smokypeoplekzn;https://t.me/smokypeoplekzn;1;-;NO;https://yandex.ru/maps/
telegram;community;soviet_lifestyle_museum;https://t.me/soviet_lifestyle_museum;1;-;NO;https://yandex.ru/maps/
telegram;community;tat_museum;https://t.me/tat_museum;1;-;NO;https://yandex.ru/maps/
telegram;community;tatarstan_natural_museum;https://t.me/tatarstan_natural_museum;1;-;NO;https://yandex.ru/maps/
